# OUVIDO - o que o reconhecimento de voz costuma escrever errado -> o certo
# Uma regra por linha: errado<TAB>certo. Sem acento e minúsculas no lado errado.
# Vale para TODO ditado do Ctrl+Alt+Espaço, antes de procurar no banco.
# Acrescente aqui o que você perceber que ele erra sempre.
na horta	na aorta
da horta	da aorta
a horta	a aorta
horta abdominal	aorta abdominal
horta toracica	aorta torácica
antiroma	ateroma
antiromas	ateromas
anti romas	ateromas
anti roma	ateroma
atiromas	ateromas
ateromas falsificados	ateromas calcificados
falsificados	calcificados
falsificadas	calcificadas
falsificacoes	calcificações
falsificacao	calcificação
ateroma tose	ateromatose
atero matose	ateromatose
espondilo se	espondilose
osteo fitos	osteófitos
osteofitos	osteófitos
anjomografia	angiotomografia
anjo tomografia	angiotomografia
anjo tc	angio tc
tem dinopatia	tendinopatia
tendino patia	tendinopatia
esteratose	esteatose
aterromas	ateromas
aterroma	ateroma
a teromas	ateromas
teromas	ateromas
ateromas classificados	ateromas calcificados
espondilortrose	espondiloartrose
nuit total	abdome total
na opte	na aorta
na ópte	na aorta
visar laudo	revisar laudo
visa laudo	revisar laudo
revisa laudo	revisar laudo
calcificados espacos	calcificados esparsos
raio x de cavo	raio x de cavum
rx de cavo	rx de cavum
radiografia de cavo	radiografia de cavum
radiografia do cavo	radiografia do cavum
cavun	cavum
kavum	cavum
cavon	cavum
calcanho	calcâneo
calcaneu	calcâneo
auditorica	do tórax
auditorico	do tórax
risartrose	rizartrose
risartroses	rizartroses
riso artrose	rizartrose
rizo artrose	rizartrose
risoartrose	rizartrose
acido metalica	haste metálica
acidos metalicas	hastes metálicas
acido intramedular	haste intramedular
acidos intramedulares	hastes intramedulares
acido cefalomedular	haste cefalomedular
acido femoral	haste femoral
e acido metalica	e haste metálica
esparca	esparsa
esparcas	esparsas
esparco	esparso
esparcos	esparsos
orta	aorta
orticas	aórticas
ortica	aórtica

# --- 25/09/2026: trocas que estavam SO no prompt de sistema da nuvem ---
# Estavam escritas dentro do prompt, ou seja: ele pagava token para o modelo
# saber o que uma tabela resolve de graca — e o conserto so acontecia nos
# ditados que iam para a nuvem. Aqui valem em TODO ditado, inclusive nos que
# nunca saem do computador.
canola	cânula
seios castrofrenicos	seios costofrênicos
castrofrenicos	costofrênicos
complexos osseo-metais	complexos ostiomeatais
osseo-metais	ostiomeatais
otimiatais	ostiomeatais
celulas etimoidais	células etmoidais
etimoidais	etmoidais
comixa media boliosa	concha média bolhosa
boliosa	bolhosa
hemi torax	hemitórax
linfo nodo	linfonodo
parenquima	parênquima
in caracteristica	incaracterística
in caracteristico	incaracterístico
maxelar	maxilar
de essencia da lamina papiracea	deiscência da lâmina papirácea
